contract_id;station_number;status;bike_stands;bonus;banking;latitude;longitude;address;station_name
14;2009;1;26;0;1;45.739652;4.814984;Sur l'esplanade entre la rue Hrant Dink et le 40 quai Rambaud;2009 - CONFLUENCE DOCKS
14;2010;1;22;0;1;45.743317;4.815747;ANGLE ALEE ANDRE MURE ET QUAI ANTOINE RIBOUD;02010 - CONFLUENCE DARSE
14;2011;1;15;0;1;45.756813;4.828342;Face ‡ la facultÈ catholique;2011 - SALA / RUE DU PLAT
14;2012;1;16;0;1;45.753455;4.833367;3 PLACE GAILLETON;2012 - GAILLETON
14;2013;1;22;0;1;45.759932;4.832111;CÙtÈ nord de la place, vers l'ascenseur;2013 - C…LESTINS
14;2014;1;16;0;1;45.760762;4.834305;3 RUE JEAN DE TOURNES;2014 - JACOBINS
14;2015;1;27;0;1;45.760698;4.836279;CÙtÈ est de la place;2015 - PLACE DE LA R…PUBLIQUE (FAR)
14;2016;1;12;0;1;45.763065;4.83425;Angle rue Tupin / rue Herriot;2016 - PLACE REGAUD
14;2017;1;15;0;1;45.762184;4.836023;Rue de la RÈpublique;2017 - R…PUBLIQUE / FERRANDI»RE (FAR)
14;2020;1;20;0;1;45.733388;4.818954;Parvis du musÈe des confluences;2020 - MUSEE DES CONFLUENCES
14;2022;1;30;0;1;45.751233;4.82688;Angle rue Plessier;2022 - PLACE CARNOT
14;2023;1;20;0;1;45.754688;4.829927;Entre rue Victor Hugo et rue d'Auvergne;2023 -  HUGO / STE H…L»NE
14;2024;1;15;0;1;45.758733;4.834136;Entre Herriot et RÈpublique;2024 - R…PUBLIQUE / MAUPIN
14;2025;1;10;0;1;45.762054;4.833194;Entre rue de Brest et rue MerciËre;2025 - MERCI»RE / FERRANDI»RE
14;2026;1;28;0;1;45.759379;4.835414;Angle rue de la RÈpublique;2026 - R…PUBLIQUE / PAUFIQUE
14;2028;1;16;0;1;45.744438;4.822152;Face station tram Ste Blandine;2028- SAINTE-BLANDINE
14;2030;1;22;0;1;45.764079;4.835554;Angle Poulaillerie / RÈpublique;2030 - R…PUBLIQUE / POULAILLERIE (FAR)
14;2035;1;23;0;1;45.759842;4.835776;;2035 - CHILDEBERT / RIVI»RE
14;2036;1;20;0;1;45.759494;4.830161;11 PLACE ANTONIN GOURJU;2036 - PLACE GOURJU
14;2037;1;30;0;1;45.747956;4.824898;12 COURS CHARLEMAGNE;2037 - PLACE DES ARCHIVES
14;2038;1;16;0;1;45.753077;4.829706;16 RUE DES REMPARTS D'AINAY;2038 - REMPARTS D'AINAY
